,katran,ebpf-ratelimiter-main,ingress-node-firewall-master,bpf-filter-master,cilium,bcc,xdp-mptm-main,ebpf-samples,katran_count,ebpf-ratelimiter-main_count,ingress-node-firewall-master_count,bpf-filter-master_count,cilium_count,bcc_count,xdp-mptm-main_count,ebpf-samples_count
iface_ip_map,[],[],[],[['/home/palani/github/ebpf-projects-annotations/examples/bpf-filter-master/ebpf/drop.c']],[],[],[],[],0,0,0,1,0,0,0,0
EGRESS_POLICY_MAP,[],[],[],[],[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/egress_policies.h']],[],[],[],0,0,0,0,1,0,0,0
ingress_node_firewall_table_map,[],[],"[['/home/sayandes/ebpf-projects-annotations/projects/ingress-node-firewall-master/original_source/bpf/ingress_node_firewall_kernel.c'], ['/home/sayandes/ebpf-projects-annotations/projects/ingress-node-firewall-master/original_source/bpf/ingress_node_firewall_kernel.c']]",[],[],[],[],[],0,0,2,0,0,0,0,0
map_related,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
LB6_SRC_RANGE_MAP,[],[],[],[],[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/lb.h']],[],[],[],0,0,0,0,1,0,0,0
CT_TAIL_CALL_BUFFER4,[],[],[],[],"[['/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_lxc.c'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_lxc.c']]",[],[],[],0,0,0,0,2,0,0,0
METRICS_MAP,[],[],[],[],[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/metrics.h']],[],[],[],0,0,0,0,1,0,0,0
ctx,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
lpm_src_v6,[['/home/palani/github/ebpf-projects-annotations/examples/katran/balancer_kern.c']],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
lru_map,"[['/home/palani/github/ebpf-projects-annotations/examples/katran/balancer_kern.c'], ['/home/palani/github/ebpf-projects-annotations/examples/katran/pckt_parsing.h']]",[],[],[],[],[],[],[],2,0,0,0,0,0,0,0
SRV6_STATE_MAP6,[],[],[],[],[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/egress_policies.h']],[],[],[],0,0,0,0,1,0,0,0
lpm_src_v4,[['/home/palani/github/ebpf-projects-annotations/examples/katran/balancer_kern.c']],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
stats,"[['/home/palani/github/ebpf-projects-annotations/examples/katran/balancer_kern.c'], ['/home/palani/github/ebpf-projects-annotations/examples/katran/balancer_kern.c'], ['/home/palani/github/ebpf-projects-annotations/examples/katran/balancer_kern.c'], ['/home/palani/github/ebpf-projects-annotations/examples/katran/balancer_kern.c'], ['/home/palani/github/ebpf-projects-annotations/examples/katran/balancer_kern.c'], ['/home/palani/github/ebpf-projects-annotations/examples/katran/balancer_kern.c'], ['/home/palani/github/ebpf-projects-annotations/examples/katran/balancer_kern.c'], ['/home/palani/github/ebpf-projects-annotations/examples/katran/balancer_kern.c']]",[],[],[],[],[],[],[],8,0,0,0,0,0,0,0
EP_POLICY_MAP,[],[],[],[],[['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/eps.h']],[],[],[],0,0,0,0,1,0,0,0
LB6_HEALTH_MAP,[],[],[],[],"[['/home/palani/github/ebpf-projects-annotations/examples/cilium/bpf_sock.c'], ['/home/palani/github/ebpf-projects-annotations/examples/cilium/lib/nodeport.h']]",[],[],[],0,0,0,0,2,0,0,0
reals,"[['/home/palani/github/ebpf-projects-annotations/examples/katran/balancer_kern.c'], ['/home/palani/github/ebpf-projects-annotations/examples/katran/pckt_parsing.h'], ['/home/palani/github/ebpf-projects-annotations/examples/katran/balancer_kern.c'], ['/home/palani/github/ebpf-projects-annotations/examples/katran/balancer_kern.c']]",[],[],[],[],[],[],[],4,0,0,0,0,0,0,0
